model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 Focus,2011,6288,Manual,46000,Petrol,145,47.9,1.6,Ford
 Corsa,2018,9599,Manual,5800,Petrol,145,43.5,1.4,Vauxhall
 A1,2011,6995,Manual,65000,Petrol,125,53.3,1.4,Audi
 RS6,2015,44944,Automatic,35000,Petrol,325,29.4,4.0,Audi
 EcoSport,2019,17350,Automatic,1124,Petrol,145,45.6,1.0,Ford
 TT,2019,36750,Semi-Auto,3339,Petrol,145,34.5,2.0,Audi
 Octavia,2017,12650,Automatic,25237,Petrol,145,57.7,1.4,Skoda
 Yaris,2014,9899,Automatic,29889,Hybrid,0,78.0,1.5,Toyota
 GLE Class,2019,52495,Semi-Auto,6880,Diesel,145,32.8,3.0,Mercedes
 Fiesta,2018,9995,Manual,13997,Petrol,145,64.2,1.1,Ford
 Focus,2016,9000,Manual,34475,Diesel,0,74.3,1.5,Ford
 Polo,2019,12400,Manual,3429,Petrol,145,48.7,1.0,Volkswagen
 X5,2019,44980,Semi-Auto,7383,Diesel,145,37.7,3.0,BMW
 Auris,2017,12000,Automatic,12057,Petrol,30,55.4,1.2,Toyota
 Fabia,2018,8895,Manual,19997,Petrol,150,64.2,1.0,Skoda
 Corsa,2016,5999,Semi-Auto,64000,Diesel,0,85.6,1.2,Vauxhall
 GLA Class,2019,23599,Semi-Auto,15588,Diesel,145,67.3,2.1,Mercedes
 C-MAX,2013,5880,Automatic,62000,Diesel,160,51.4,2.0,Ford
 Yeti Outdoor,2017,12990,Manual,37307,Petrol,125,51.4,1.2,Skoda
 A3,2019,32950,Semi-Auto,2308,Petrol,145,34.5,2.0,Audi
 C Class,2015,11591,Manual,94000,Diesel,20,68.9,2.1,Mercedes
 Insignia,2016,9298,Manual,44787,Diesel,20,68.9,1.6,Vauxhall
 GLE Class,2019,49199,Semi-Auto,6785,Diesel,150,36.7,3.0,Mercedes
 Polo,2017,10990,Manual,11347,Petrol,20,60.1,1.2,Volkswagen
 Octavia,2019,13798,Semi-Auto,12311,Diesel,145,72.4,1.6,Skoda
 C-MAX,2017,11091,Manual,22813,Diesel,20,68.9,1.5,Ford
 A4,2020,28995,Semi-Auto,4000,Diesel,145,54.3,3.0,Audi
 Fiesta,2014,6590,Manual,24916,Petrol,30,54.3,1.2,Ford
 A4,2017,17575,Manual,49095,Diesel,30,67.3,2.0,Audi
 Fiesta,2014,5295,Manual,58680,Petrol,30,54.3,1.2,Ford
 GLA Class,2019,23149,Semi-Auto,9253,Diesel,145,67.3,2.1,Mercedes
 Kuga,2017,13900,Manual,31926,Diesel,145,60.1,2.0,Ford
 Astra,2017,10798,Manual,35509,Diesel,145,76.3,1.6,Vauxhall
 Fiesta,2015,6800,Manual,19784,Petrol,125,54.3,1.2,Ford
 B-MAX,2018,10900,Manual,17660,Petrol,145,57.7,1.0,Ford
 X4,2019,44000,Semi-Auto,3253,Petrol,145,26.9,3.0,BMW
 A Class,2017,15178,Semi-Auto,21470,Diesel,20,74.3,1.5,Mercedes
 I800,2018,17990,Automatic,36501,Diesel,145,28.0,2.5,Hyundai
 Focus,2018,19000,Manual,16000,Petrol,150,41.5,2.0,Ford
 A6,2017,21998,Semi-Auto,21789,Diesel,145,61.4,2.0,Audi
 A6,2018,30650,Automatic,1000,Diesel,145,50.4,2.0,Audi
 4 Series,2019,32440,Manual,3792,Diesel,145,62.8,2.0,BMW
 Fiesta,2018,9690,Manual,14562,Petrol,145,64.2,1.1,Ford
 Yaris,2017,11881,Automatic,7195,Petrol,30,58.0,1.3,Toyota
 Ka+,2017,7850,Manual,11149,Petrol,145,57.7,1.2,Ford
 Astra,2019,14000,Manual,4453,Diesel,150,72.4,1.6,Vauxhall
 Touareg,2018,34950,Semi-Auto,22602,Diesel,145,34.5,3.0,Volkswagen
 Octavia,2019,15690,Automatic,9732,Diesel,145,72.4,1.6,Skoda
 Tucson,2017,14195,Manual,11428,Diesel,30,61.7,1.7,Hyundai
 Tucson,2016,13789,Automatic,18634,Diesel,125,57.6,1.7,Hyundai
 I800,2018,16995,Automatic,32672,Diesel,145,28.0,2.5,Hyundai
 C-HR,2018,18999,Automatic,42595,Hybrid,135,74.3,1.8,Toyota
 Edge,2017,16999,Manual,65853,Diesel,160,48.7,2.0,Ford
 A3,2019,22200,Automatic,1849,Diesel,145,52.3,1.6,Audi
 Mokka X,2019,13999,Manual,12000,Petrol,145,39.2,1.4,Vauxhall
 Crossland X,2017,10210,Manual,19254,Petrol,145,54.3,1.2,Vauxhall
 Kuga,2019,19698,Manual,95,Diesel,145,54.3,1.5,Ford
 Focus,2018,10999,Manual,12528,Petrol,145,61.4,1.0,Ford
 Octavia,2016,9377,Manual,30996,Petrol,30,55.4,1.4,Skoda
 Focus,2008,2495,Manual,89000,Diesel,30,62.8,1.6,Ford
 Fabia,2018,12950,Manual,6000,Petrol,145,60.1,1.0,Skoda
 Tiguan,2018,19999,Manual,11154,Petrol,145,48.7,1.4,Volkswagen
 Golf,2016,15780,Manual,34714,Diesel,20,67.3,2.0,Volkswagen
 Tucson,2017,14490,Manual,18772,Diesel,30,61.7,1.7,Hyundai
 Prius,2017,19980,Automatic,39158,Hybrid,0,94.1,1.8,Toyota
 Astra,2020,15295,Manual,20,Petrol,145,54.3,1.2,Vauxhall
 Zafira Tourer,2016,12900,Automatic,10475,Petrol,200,40.9,1.4,Vauxhall
 Q8,2019,58450,Automatic,7000,Diesel,145,33.6,3.0,Audi
 Aygo,2015,5999,Manual,31864,Petrol,0,69.0,1.0,Toyota
 A6,2018,17650,Manual,15957,Diesel,145,65.7,2.0,Audi
 Adam,2016,7495,Manual,26835,Petrol,125,53.3,1.2,Vauxhall
 Golf,2019,18990,Manual,4901,Diesel,145,57.7,1.6,Volkswagen
 Tiguan,2019,31995,Automatic,3441,Diesel,145,31.4,2.0,Volkswagen
 Tucson,2017,16794,Manual,26421,Diesel,150,61.7,1.7,Hyundai
 Fiesta,2014,4295,Manual,72121,Petrol,30,54.3,1.2,Ford
 Passat,2018,15390,Semi-Auto,20602,Petrol,145,55.4,1.4,Volkswagen
 CLS Class,2019,42000,Semi-Auto,12000,Diesel,145,47.9,2.9,Mercedes
 Mokka X,2019,12298,Manual,10269,Petrol,145,39.2,1.4,Vauxhall
 Corsa,2017,8999,Manual,12000,Petrol,30,54.3,1.4,Vauxhall
 Q5,2018,40995,Semi-Auto,7968,Petrol,145,34.0,3.0,Audi
 I30,2016,9799,Manual,35932,Petrol,160,42.8,1.6,Hyundai
 Yaris,2018,9900,Manual,11981,Petrol,145,58.9,1.5,Toyota
 GLC Class,2019,31500,Semi-Auto,8534,Diesel,145,44.8,2.0,Mercedes
 2 Series,2017,18990,Automatic,14000,Diesel,145,65.7,2.0,BMW
 A5,2019,27761,Semi-Auto,1626,Diesel,145,51.4,2.0,Audi
 A3,2016,18492,Semi-Auto,30270,Petrol,30,56.5,1.4,Audi
 Fiesta,2019,11495,Manual,15762,Diesel,145,55.4,1.5,Ford
 Aygo,2017,7998,Semi-Auto,9775,Petrol,0,67.0,1.0,Toyota
 Tucson,2017,15495,Semi-Auto,20996,Diesel,125,57.6,1.7,Hyundai
 S Class,2014,24990,Automatic,56000,Diesel,200,48.7,3.0,Mercedes
 C-MAX,2016,10890,Manual,15511,Diesel,20,68.9,1.5,Ford
 3 Series,2008,5985,Automatic,76000,Petrol,235,39.2,3.0,BMW
 C Class,2020,34991,Semi-Auto,1000,Petrol,145,43.5,2.0,Mercedes
 Crossland X,2018,12498,Manual,9611,Petrol,145,44.8,1.2,Vauxhall
 Focus,2019,17500,Manual,3700,Petrol,145,49.6,1.0,Ford
 B Class,2019,22889,Semi-Auto,1552,Diesel,145,55.4,2.0,Mercedes
 Amarok,2018,25490,Automatic,45325,Diesel,260,36.2,3.0,Volkswagen
 Kuga,2017,14190,Manual,28478,Diesel,145,60.1,2.0,Ford
 Fiesta,2018,11900,Manual,12600,Diesel,150,88.3,1.5,Ford
 A3,2016,16450,Manual,32542,Petrol,30,60.1,1.4,Audi
 X1,2016,19500,Semi-Auto,13690,Diesel,125,57.6,2.0,BMW
 Astra,2019,12698,Manual,15012,Petrol,145,51.4,1.4,Vauxhall
 A3,2017,17695,Manual,14160,Diesel,145,68.9,1.6,Audi
 X2,2019,29490,Semi-Auto,1155,Diesel,145,61.4,2.0,BMW
 Fiesta,2017,9479,Manual,43786,Petrol,0,65.7,1.0,Ford
 Mokka X,2019,13500,Semi-Auto,19243,Petrol,145,37.2,1.4,Vauxhall
 Astra,2018,10899,Manual,11925,Petrol,145,51.4,1.4,Vauxhall
 E Class,2016,17240,Semi-Auto,30277,Diesel,20,72.4,2.0,Mercedes
 Polo,2020,14491,Manual,2885,Petrol,145,48.7,1.0,Volkswagen
 Fiesta,2013,4780,Manual,47969,Petrol,30,54.3,1.2,Ford
 Scirocco,2014,10000,Manual,46806,Diesel,30,62.8,2.0,Volkswagen
 Golf,2017,14247,Manual,37958,Petrol,20,60.1,1.4,Volkswagen
 Aygo,2017,7698,Manual,11881,Petrol,150,68.9,1.0,Toyota
 T-Roc,2017,13995,Manual,20706,Petrol,0,65.7,1.0,Volkswagen
 Tiguan,2014,9560,Semi-Auto,82211,Diesel,200,47.7,2.0,Volkswagen
 Yaris,2015,10688,Automatic,36021,Hybrid,0,78.0,1.5,Toyota
 A6,2017,19990,Automatic,32276,Diesel,145,61.4,2.0,Audi
 Karoq,2019,30843,Manual,4521,Diesel,145,42.8,2.0,Skoda
 Tourneo Connect,2016,12500,Manual,26545,Diesel,30,64.2,1.5,Ford
 C Class,2019,19999,Semi-Auto,13591,Petrol,145,46.3,1.5,Mercedes
 Aygo,2015,6066,Manual,36000,Petrol,0,69.0,1.0,Toyota
 Focus,2020,28998,Manual,2985,Petrol,145,34.5,2.3,Ford
 A1,2019,22365,Semi-Auto,3774,Petrol,145,40.9,2.0,Audi
 Ka+,2017,7500,Manual,4308,Petrol,145,57.7,1.2,Ford
 Mondeo,2016,7499,Manual,85989,Diesel,0,78.5,1.5,Ford
 C-HR,2019,22995,Automatic,6300,Hybrid,140,54.3,2.0,Toyota
 Polo,2018,11250,Manual,11555,Petrol,145,48.7,1.0,Volkswagen
 Aygo,2017,7698,Manual,13760,Petrol,145,68.9,1.0,Toyota
 A Class,2019,22899,Automatic,442,Diesel,145,62.8,1.5,Mercedes
 Fiesta,2017,10103,Manual,14415,Petrol,145,65.7,1.0,Ford
 A5,2019,25998,Semi-Auto,24608,Petrol,145,39.8,2.0,Audi
 Focus,2018,13997,Manual,12655,Petrol,145,57.7,1.0,Ford
 A3,2019,23990,Semi-Auto,9476,Petrol,145,41.5,1.5,Audi
 1 Series,2017,21800,Semi-Auto,16166,Petrol,145,39.8,3.0,BMW
 C-MAX,2016,10000,Manual,30697,Diesel,20,68.9,1.5,Ford
 Insignia,2018,12695,Manual,24452,Diesel,150,70.6,1.6,Vauxhall
 A Class,2016,14990,Semi-Auto,22350,Diesel,20,70.6,2.1,Mercedes
 T-Cross,2019,21995,Manual,3500,Diesel,145,52.3,1.6,Volkswagen
 C-MAX,2017,10698,Manual,31743,Diesel,20,68.9,1.5,Ford
 RS4,2014,23491,Automatic,61892,Petrol,555,26.4,4.2,Audi
 Fiesta,2016,10399,Manual,13475,Diesel,0,78.5,1.5,Ford
 Golf,2019,18350,Automatic,14205,Diesel,145,52.3,2.0,Volkswagen
 Citigo,2017,6971,Manual,36427,Petrol,150,64.2,1.0,Skoda
 Polo,2017,10930,Manual,11828,Petrol,145,60.1,1.2,Volkswagen
 Mokka X,2017,11841,Manual,25527,Diesel,145,68.9,1.6,Vauxhall
 Fiesta,2018,9400,Manual,9682,Petrol,145,64.2,1.1,Ford
 A4,2018,17505,Manual,23765,Petrol,145,50.4,1.4,Audi
 S-MAX,2019,24990,Manual,7725,Diesel,150,54.3,2.0,Ford
 I10,2020,13949,Semi-Auto,6000,Petrol,150,52.3,1.2,Hyundai
 Golf,2016,13965,Semi-Auto,12411,Petrol,30,53.3,1.4,Volkswagen
 Fiesta,2019,14998,Manual,8147,Petrol,145,60.1,1.0,Ford
 GLC Class,2018,24690,Semi-Auto,40422,Diesel,145,56.5,2.1,Mercedes
 EcoSport,2017,11999,Manual,24000,Petrol,145,52.3,0.0,Ford
 A6,2016,16666,Semi-Auto,56900,Diesel,145,56.5,2.0,Audi
 Aygo,2017,6150,Manual,46993,Petrol,0,69.0,1.0,Toyota
 Golf,2017,18490,Automatic,6230,Petrol,20,60.1,1.4,Volkswagen
 A5,2018,22318,Semi-Auto,60130,Diesel,145,62.8,2.0,Audi
 Fiesta,2016,6991,Manual,54039,Diesel,0,88.3,1.5,Ford
 Astra,2017,10600,Automatic,28890,Diesel,125,61.4,1.6,Vauxhall
 Focus,2015,7500,Manual,67107,Diesel,0,74.3,1.5,Ford
 Yaris,2017,11498,Automatic,19495,Petrol,145,60.1,1.5,Toyota
 A8,2017,25000,Semi-Auto,45000,Diesel,145,47.1,3.0,Audi
 C-MAX,2015,9995,Manual,45373,Diesel,20,68.9,1.5,Ford
 Focus,2016,10990,Manual,30353,Diesel,0,74.3,1.5,Ford
 Octavia,2017,12250,Manual,30452,Diesel,150,65.7,2.0,Skoda
 Galaxy,2016,10792,Automatic,117000,Diesel,150,52.3,2.0,Ford
 Zafira,2016,11491,Manual,23063,Petrol,200,42.2,1.4,Vauxhall
 Fiesta,2013,6850,Manual,44000,Petrol,30,54.3,1.2,Ford
 Astra,2017,10399,Manual,26886,Petrol,145,51.4,1.4,Vauxhall
 Corsa,2019,10990,Manual,20,Petrol,150,43.5,1.4,Vauxhall
 Fabia,2016,8499,Manual,36850,Petrol,20,60.1,1.2,Skoda
 Tiguan,2014,11991,Manual,60010,Diesel,165,48.7,2.0,Volkswagen
 Mokka,2016,8995,Manual,33440,Petrol,160,44.8,1.4,Vauxhall
 A4,2018,20950,Semi-Auto,8022,Petrol,145,50.4,1.4,Audi
 Tourneo Custom,2017,19995,Manual,14000,Diesel,200,44.8,2.0,Ford
 A8,2019,48000,Automatic,5900,Diesel,145,50.4,3.0,Audi
 Golf SV,2016,9898,Manual,29720,Diesel,0,72.4,1.6,Volkswagen
 Insignia,2019,14559,Manual,10887,Petrol,145,50.4,1.5,Vauxhall
 Sharan,2019,23299,Semi-Auto,15,Diesel,145,42.2,2.0,Volkswagen
 C Class,2017,18890,Semi-Auto,25066,Diesel,145,64.2,2.1,Mercedes
 Up,2019,10490,Manual,5000,Petrol,145,54.3,1.0,Volkswagen
 A3,2017,24495,Automatic,33056,Petrol,145,43.5,2.0,Audi
 Tucson,2019,16495,Manual,11695,Petrol,145,34.9,1.6,Hyundai
 A1,2019,18990,Manual,2903,Petrol,150,51.4,1.0,Audi
 Fiesta,2010,5490,Manual,17733,Petrol,150,47.9,1.6,Ford
 Mokka X,2017,10900,Manual,32101,Diesel,145,72.4,1.6,Vauxhall
 Focus,2019,16410,Manual,13245,Diesel,145,74.3,1.5,Ford
 Q5,2017,28290,Automatic,33050,Petrol,145,40.4,2.0,Audi
 Superb,2017,16795,Manual,31801,Diesel,145,64.2,2.0,Skoda
 Q2,2019,21490,Manual,3505,Petrol,145,47.1,1.0,Audi
 Fiesta,2019,17000,Manual,1159,Petrol,145,58.9,1.0,Ford
 Mokka X,2016,10500,Manual,22484,Diesel,30,65.7,1.6,Vauxhall
 Fiesta,2017,9849,Manual,13998,Petrol,145,65.7,1.0,Ford
 Focus,2016,9490,Manual,59249,Petrol,20,60.1,1.0,Ford
 I10,2017,6690,Manual,27821,Petrol,20,60.1,1.0,Hyundai
 Z4,2016,17732,Semi-Auto,16761,Petrol,200,41.5,2.0,BMW
 Prius,2019,22998,Automatic,9776,Hybrid,135,64.2,1.8,Toyota
 Tiguan,2017,17495,Manual,31631,Petrol,150,48.7,1.4,Volkswagen
 Focus,2019,19000,Automatic,2256,Diesel,145,74.3,1.5,Ford
 Polo,2017,11995,Semi-Auto,23848,Petrol,145,60.1,1.2,Volkswagen
 A3,2013,11490,Manual,35804,Petrol,30,54.3,1.4,Audi
 Fiesta,2015,6950,Manual,20060,Petrol,125,54.3,1.2,Ford
 X1,2017,14930,Manual,77484,Diesel,20,68.9,2.0,BMW
 Mokka X,2016,9995,Manual,48652,Petrol,200,42.2,1.6,Vauxhall
 2 Series,2020,27998,Manual,1580,Petrol,150,43.5,1.5,BMW
 Tucson,2017,13269,Manual,15625,Petrol,150,44.8,1.6,Hyundai
 Q5,2016,30000,Automatic,43009,Diesel,235,42.2,3.0,Audi
 Q2,2019,27450,Semi-Auto,1427,Petrol,145,40.9,1.5,Audi
 Polo,2019,18495,Manual,1870,Petrol,145,49.6,1.0,Volkswagen
 Aygo,2019,9445,Manual,3500,Petrol,145,56.5,1.0,Toyota
 EcoSport,2018,13500,Manual,10654,Petrol,145,54.3,1.0,Ford
 Z4,2020,50800,Semi-Auto,1142,Petrol,145,33.2,3.0,BMW
 Superb,2017,13025,Semi-Auto,54673,Diesel,30,62.8,2.0,Skoda
 Polo,2015,10490,Semi-Auto,24637,Petrol,20,60.1,1.2,Volkswagen
 Fiesta,2015,6970,Manual,54790,Diesel,0,88.3,1.5,Ford
 Superb,2019,28985,Semi-Auto,4532,Petrol,145,33.2,2.0,Skoda
 A7,2017,24500,Semi-Auto,38519,Diesel,145,52.3,3.0,Audi
 Golf,2017,12989,Manual,37234,Diesel,150,67.3,2.0,Volkswagen
 Polo,2019,13789,Manual,5073,Petrol,145,48.7,1.0,Volkswagen
 Tucson,2020,20991,Semi-Auto,450,Petrol,145,36.2,1.6,Hyundai
 Golf,2019,18059,Automatic,4173,Petrol,145,44.8,1.0,Volkswagen
 Yaris,2017,11800,Manual,28544,Petrol,145,56.5,1.5,Toyota
 Corsa,2019,10490,Manual,1232,Petrol,145,43.5,1.4,Vauxhall
 Auris,2017,15995,Automatic,20543,Hybrid,0,78.5,1.8,Toyota
 C-MAX,2017,11495,Manual,39254,Diesel,150,68.9,1.5,Ford
 S-MAX,2007,2400,Manual,144000,Diesel,240,44.1,2.0,Ford
 Corsa,2015,6495,Manual,34600,Petrol,30,55.4,1.4,Vauxhall
 E Class,2019,42995,Semi-Auto,16271,Petrol,145,32.1,3.0,Mercedes
 Grand C-MAX,2018,14499,Manual,3937,Petrol,145,47.1,1.0,Ford
 Fiesta,2013,5000,Manual,56497,Petrol,30,54.3,1.2,Ford
 A Class,2019,24669,Semi-Auto,1000,Petrol,145,28.5,2.0,Mercedes
 Corolla,2019,21491,Automatic,3993,Hybrid,135,85.6,1.8,Toyota
 Astra,2015,8995,Manual,25874,Petrol,125,51.4,1.4,Vauxhall
 Prius,2018,18150,Automatic,59191,Other,135,235.0,1.8,Toyota
 Astra,2016,8350,Manual,37486,Diesel,0,76.3,1.6,Vauxhall
 Crossland X,2019,14280,Manual,6379,Diesel,145,60.1,1.5,Vauxhall
 Astra,2016,9498,Manual,30587,Petrol,125,51.4,1.4,Vauxhall
 1 Series,2019,17250,Manual,4122,Petrol,145,53.3,1.5,BMW
 Adam,2018,8499,Manual,16374,Petrol,145,44.8,1.2,Vauxhall
 GLE Class,2016,23995,Automatic,38000,Diesel,200,47.9,2.1,Mercedes
 Fiesta,2016,10790,Manual,15882,Diesel,0,78.5,1.5,Ford
 3 Series,2019,31880,Semi-Auto,5185,Diesel,145,44.1,3.0,BMW
 Golf,2016,18495,Semi-Auto,30000,Diesel,30,62.8,2.0,Volkswagen
 Yaris,2019,11750,Manual,8935,Petrol,145,47.9,1.5,Toyota
 Focus,2018,19999,Manual,9560,Petrol,145,41.5,2.0,Ford
 GLE Class,2017,26000,Automatic,24053,Diesel,265,42.8,3.0,Mercedes
 Scirocco,2014,11298,Semi-Auto,51756,Diesel,30,57.6,2.0,Volkswagen
 Aygo,2019,9450,Manual,759,Petrol,145,57.7,1.0,Toyota
 Focus,2019,16495,Manual,7820,Petrol,145,60.1,1.0,Ford
 Q3,2020,32950,Automatic,998,Diesel,150,47.1,2.0,Audi
 Corsa,2018,9000,Manual,2164,Petrol,145,43.5,1.4,Vauxhall
 Golf,2015,12995,Semi-Auto,51332,Petrol,30,53.3,1.4,Volkswagen
 Q3,2014,9992,Manual,69944,Diesel,145,54.3,2.0,Audi
 Polo,2019,20990,Semi-Auto,1396,Petrol,145,39.8,2.0,Volkswagen
 E Class,2017,24480,Semi-Auto,22469,Diesel,145,51.4,3.0,Mercedes
 Zafira Tourer,2016,9290,Automatic,28500,Diesel,200,46.3,2.0,Vauxhall
 Fabia,2017,7690,Manual,22659,Petrol,145,58.8,1.0,Skoda
 C Class,2017,22290,Automatic,34587,Diesel,30,65.7,2.1,Mercedes
 3 Series,2013,9900,Automatic,89543,Diesel,125,60.1,2.0,BMW
 A Class,2016,15351,Manual,27744,Diesel,30,62.8,2.1,Mercedes
 3 Series,2018,18000,Manual,45344,Diesel,145,64.2,2.0,BMW
 GLA Class,2019,22990,Automatic,1647,Petrol,145,44.8,1.6,Mercedes
 X-CLASS,2019,38990,Automatic,8000,Diesel,260,31.4,3.0,Mercedes
 Focus,2019,18140,Manual,4577,Diesel,145,61.4,1.5,Ford
 E Class,2018,28970,Automatic,10310,Diesel,150,57.7,2.0,Mercedes
 A5,2017,28000,Automatic,20344,Petrol,150,37.7,3.0,Audi
 Kodiaq,2017,23295,Semi-Auto,18321,Petrol,145,39.8,1.4,Skoda
 A5,2016,17498,Semi-Auto,32012,Diesel,150,56.5,2.0,Audi
 Yaris,2015,6350,Manual,23690,Petrol,0,66.0,1.0,Toyota
 Fiesta,2017,8740,Manual,13196,Petrol,0,65.7,1.0,Ford
 Focus,2015,8810,Manual,45463,Diesel,0,74.3,1.5,Ford
 Yaris,2018,10485,Manual,29479,Petrol,145,56.5,1.5,Toyota
 Sharan,2017,17992,Manual,29987,Diesel,125,56.5,2.0,Volkswagen
 B-MAX,2017,12499,Manual,5698,Petrol,145,57.7,1.0,Ford
 i3,2017,19500,Automatic,23956,Other,135,470.8,0.6,BMW
 X-CLASS,2018,28950,Automatic,13500,Diesel,260,35.8,2.3,Mercedes
 Polo,2018,13990,Semi-Auto,8089,Petrol,150,61.4,1.0,Volkswagen
 Tiguan,2018,19000,Manual,17450,Petrol,150,46.3,1.4,Volkswagen
 B Class,2019,22299,Semi-Auto,13676,Petrol,145,45.6,1.3,Mercedes
 A3,2017,15141,Manual,8391,Petrol,20,60.1,1.0,Audi
 Mondeo,2017,9490,Manual,77368,Diesel,30,65.7,2.0,Ford
 Corsa,2017,7500,Manual,21247,Petrol,30,55.4,1.4,Vauxhall
 C-HR,2018,23495,Automatic,8913,Hybrid,135,74.3,1.8,Toyota
 A Class,2019,17990,Automatic,14783,Diesel,145,65.7,1.5,Mercedes
 1 Series,2014,14799,Manual,31914,Petrol,300,35.3,3.0,BMW
 SL CLASS,2017,18699,Semi-Auto,21750,Petrol,145,47.9,2.0,Mercedes
 X2,2019,33250,Semi-Auto,3673,Petrol,145,34.0,2.0,BMW
 C Class,2017,18999,Semi-Auto,31727,Diesel,145,64.2,2.1,Mercedes
 E Class,2016,20049,Semi-Auto,24242,Diesel,20,72.4,2.0,Mercedes
 Superb,2019,15810,Manual,2917,Petrol,145,40.9,1.5,Skoda
 A Class,2019,24987,Manual,2841,Petrol,145,47.1,1.3,Mercedes
 Ka+,2017,7495,Manual,23065,Petrol,145,57.7,1.2,Ford
 Arteon,2019,26995,Semi-Auto,2936,Diesel,145,55.4,2.0,Volkswagen
 Grand C-MAX,2015,8990,Manual,35000,Diesel,125,60.1,1.6,Ford
 Polo,2014,6498,Manual,50426,Petrol,20,60.1,1.0,Volkswagen
 2 Series,2016,18990,Automatic,22000,Petrol,235,38.2,3.0,BMW
 Arteon,2019,24995,Semi-Auto,4697,Diesel,145,50.4,2.0,Volkswagen
 A5,2016,14998,Semi-Auto,50903,Diesel,125,58.9,2.0,Audi
 Tucson,2020,27999,Semi-Auto,300,Petrol,145,36.2,1.6,Hyundai
 X6,2013,16990,Automatic,80000,Diesel,300,37.7,3.0,BMW
 Corsa,2015,7799,Manual,27234,Petrol,30,55.4,1.4,Vauxhall
 I20,2016,9000,Manual,14000,Petrol,20,62.8,1.0,Hyundai
 Golf,2019,16751,Semi-Auto,15223,Diesel,145,54.3,1.6,Volkswagen
 Golf SV,2019,18716,Automatic,3140,Diesel,145,50.4,2.0,Volkswagen
 B-MAX,2017,9900,Manual,33766,Petrol,30,56.5,1.0,Ford
 C-HR,2018,21999,Automatic,11252,Hybrid,135,74.3,1.8,Toyota
 RAV4,2014,10995,Manual,59627,Diesel,125,57.6,2.0,Toyota
 1 Series,2019,23295,Semi-Auto,4694,Diesel,150,57.7,1.5,BMW
 Touran,2018,17500,Automatic,15334,Diesel,145,65.7,1.6,Volkswagen
 E Class,2014,9990,Automatic,60500,Diesel,30,58.9,2.1,Mercedes
 Crossland X,2019,11291,Manual,24448,Petrol,145,47.1,1.2,Vauxhall
 Superb,2016,15399,Manual,37951,Diesel,30,61.4,2.0,Skoda
 Focus,2014,6926,Manual,40360,Petrol,20,58.9,1.0,Ford
 CC,2016,12950,Semi-Auto,24500,Diesel,125,58.9,2.0,Volkswagen
 Golf SV,2015,10495,Manual,25082,Diesel,0,72.4,1.6,Volkswagen
 Galaxy,2019,24799,Automatic,16109,Diesel,145,53.3,2.0,Ford
 Polo,2019,15891,Semi-Auto,1941,Petrol,145,45.6,1.0,Volkswagen
 Q3,2017,24995,Semi-Auto,9078,Petrol,145,40.4,2.0,Audi
 Santa Fe,2019,26290,Automatic,4566,Diesel,145,42.2,2.2,Hyundai
 C-HR,2018,22450,Automatic,12958,Hybrid,135,74.3,1.8,Toyota
 Aygo,2017,8000,Manual,13873,Petrol,0,68.9,1.0,Toyota
 I20,2018,10399,Manual,4200,Petrol,145,46.3,1.2,Hyundai
 Corsa,2017,7830,Manual,13407,Petrol,30,55.4,1.4,Vauxhall
 Kodiaq,2018,26490,Automatic,15451,Petrol,150,38.2,2.0,Skoda
 Yaris,2017,9000,Manual,20175,Petrol,30,58.0,1.3,Toyota
 Fabia,2013,5495,Manual,58512,Diesel,20,67.3,1.6,Skoda
 C Class,2019,25349,Semi-Auto,10503,Petrol,145,44.1,1.5,Mercedes
 2 Series,2020,32895,Semi-Auto,1548,Petrol,150,36.2,2.0,BMW
 A Class,2020,21480,Manual,1385,Petrol,145,47.1,1.3,Mercedes
 Astra,2020,14990,Manual,100,Petrol,145,54.3,1.2,Vauxhall
 Yaris,2016,11991,Automatic,40100,Hybrid,0,86.0,1.5,Toyota
 Corsa,2018,8999,Manual,15068,Petrol,150,54.3,1.4,Vauxhall
 A Class,2018,29399,Semi-Auto,33125,Petrol,145,40.9,2.0,Mercedes
 Kuga,2014,11198,Manual,41711,Diesel,145,53.3,2.0,Ford
 Q3,2017,17000,Manual,31638,Petrol,125,51.4,1.4,Audi
 Focus,2018,17850,Manual,8781,Petrol,145,41.5,2.0,Ford
 Golf,2016,14995,Manual,60246,Petrol,145,47.1,2.0,Volkswagen
 Yaris,2017,9195,Manual,15699,Petrol,30,58.0,1.3,Toyota
 Touareg,2017,24999,Automatic,25000,Diesel,145,42.8,3.0,Volkswagen
 Focus,2019,26698,Manual,3498,Diesel,145,50.4,2.0,Ford
 CC,2016,10329,Automatic,75387,Diesel,125,58.9,2.0,Volkswagen
 CLS Class,2019,36000,Semi-Auto,2352,Diesel,145,48.7,2.9,Mercedes
 Yaris,2013,9490,Automatic,50841,Hybrid,0,80.7,1.5,Toyota
 Passat,2016,14900,Semi-Auto,58272,Diesel,125,57.6,2.0,Volkswagen
 Zafira,2016,10191,Manual,26793,Petrol,200,42.2,1.4,Vauxhall
 I10,2020,12495,Manual,500,Petrol,145,56.5,1.0,Hyundai
 X5,2019,45463,Semi-Auto,5345,Diesel,145,37.7,3.0,BMW
